Source,Target,Weight,Start,End
BANGLADESH,HUGARY,2,1996,1996
BANGLADESH,CHINA,2,1996,1996
BANGLADESH,POLAND,2,1996,1996
BANGLADESH,INDIA,1,1996,1996
BANGLADESH,INDONESIA,2,1996,1996
BANGLADESH,COLOMBIA,1,1996,1996
BANGLADESH,GEORGIA,2,1996,1996
BANGLADESH,HUNGARY,2,1996,1996
BANGLADESH,MALDIVES,2,1996,1996
BANGLADESH,FIJI,1,1996,1996
BANGLADESH,FEDERATED STATES OF MICRONESIA,2,1996,1996
NEW ZELAND,SWITZERLAND,2,1996,1996
G77,SWITZERLAND,2,1996,1996
JAPAN,SWITZERLAND,4,1996,1996
ARGENTINA,SWITZERLAND,1,1996,1996
OMAN,SWITZERLAND,1,1996,1996
BENIN,SWITZERLAND,1,1996,1996
SWITZERLAND,UNITED ARAB EMIRATES (UAE),1,1996,1996
BRAZIL,SWITZERLAND,2,1996,1996
NORWAY,SWITZERLAND,2,1996,1996
PAKISTAN,SWITZERLAND,1,1996,1996
NIGERIA,SWITZERLAND,2,1996,1996
MYANMAR,SWITZERLAND,1,1996,1996
HUGARY,SWITZERLAND,1,1996,1996
CHINA,SWITZERLAND,3,1996,1996
POLAND,SWITZERLAND,1,1996,1996
INDIA,SWITZERLAND,3,1996,1996
INDONESIA,SWITZERLAND,1,1996,1996
COLOMBIA,SWITZERLAND,2,1996,1996
GEORGIA,SWITZERLAND,1,1996,1996
HUNGARY,SWITZERLAND,1,1996,1996
MALDIVES,SWITZERLAND,1,1996,1996
FIJI,SWITZERLAND,1,1996,1996
FEDERATED STATES OF MICRONESIA,SWITZERLAND,1,1996,1996
G77,NEW ZELAND,2,1996,1996
JAPAN,NEW ZELAND,2,1996,1996
CANADA,NEW ZELAND,3,1996,1996
NEW ZELAND,SAUDI ARABIA,3,1996,1996
ARGENTINA,NEW ZELAND,1,1996,1996
NEW ZELAND,OMAN,2,1996,1996
BENIN,NEW ZELAND,1,1996,1996
NEW ZELAND,UNITED ARAB EMIRATES (UAE),2,1996,1996
BRAZIL,NEW ZELAND,2,1996,1996
IRAN,NEW ZELAND,3,1996,1996
NEW ZELAND,SOUTH KOREA,1,1996,1996
NEW ZELAND,NORWAY,2,1996,1996
NEW ZELAND,PAKISTAN,1,1996,1996
NEW ZELAND,NIGERIA,3,1996,1996
MYANMAR,NEW ZELAND,2,1996,1996
HUGARY,NEW ZELAND,1,1996,1996
CHINA,NEW ZELAND,3,1996,1996
NEW ZELAND,POLAND,1,1996,1996
INDIA,NEW ZELAND,2,1996,1996
INDONESIA,NEW ZELAND,1,1996,1996
COLOMBIA,NEW ZELAND,2,1996,1996
GEORGIA,NEW ZELAND,1,1996,1996
NEW ZELAND,PHILIPPINES,2,1996,1996
HUNGARY,NEW ZELAND,1,1996,1996
MALDIVES,NEW ZELAND,1,1996,1996
NEW ZELAND,USA,4,1996,1996
FIJI,NEW ZELAND,1,1996,1996
FEDERATED STATES OF MICRONESIA,NEW ZELAND,1,1996,1996
G77,JAPAN,3,1996,1996
CANADA,G77,3,1996,1996
G77,SAUDI ARABIA,3,1996,1996
ARGENTINA,G77,2,1996,1996
G77,OMAN,2,1996,1996
BENIN,G77,2,1996,1996
G77,UNITED ARAB EMIRATES (UAE),1,1996,1996
BRAZIL,G77,1,1996,1996
G77,IRAN,3,1996,1996
G77,SOUTH KOREA,1,1996,1996
G77,NORWAY,2,1996,1996
G77,PAKISTAN,2,1996,1996
G77,NIGERIA,1,1996,1996
G77,MYANMAR,2,1996,1996
G77,HUGARY,2,1996,1996
CHINA,G77,7,1996,1996
G77,POLAND,2,1996,1996
G77,INDIA,2,1996,1996
G77,INDONESIA,2,1996,1996
COLOMBIA,G77,2,1996,1996
G77,GEORGIA,2,1996,1996
G77,PHILIPPINES,2,1996,1996
G77,HUNGARY,2,1996,1996
G77,MALDIVES,2,1996,1996
G77,USA,5,1996,1996
FIJI,G77,1,1996,1996
FEDERATED STATES OF MICRONESIA,G77,2,1996,1996
CANADA,JAPAN,5,1996,1996
JAPAN,SAUDI ARABIA,2,1996,1996
ARGENTINA,JAPAN,1,1996,1996
JAPAN,OMAN,1,1996,1996
BENIN,JAPAN,1,1996,1996
